gene,observed,random_nets,t-statistic,pvalue
trmD,0.0086956865992744,0.004435462881999999,-245.49839730337084,0.0
cshB,0.00015570647827271514,0.002293002739,122.17509133660273,0.0
ftsE,0.0002650623399850015,0.000400037847,17.592041485445694,1.484361403822412e-60
6-phospho-beta-glucosidase,0.0185440063133169,0.0023304692319999995,-739.6068586102259,0.0
ylmE,0.0007620153129306714,0.000879652493,12.98766242823996,9.428992054890554e-36
SPD_1423,0.0023659456664916,0.000729122171,-130.51241269768474,0.0
murI,0.0015130250805996,0.001586535805,5.274655617380151,1.6306004957962883e-07
rnz,0.0001577398591884464,0.00041949023100000006,51.40419346015061,7.96987277349568e-283
hflX,0.0015944545863784,0.000377711847,-253.51331760253873,0.0
Helicase,0.00028528719640141505,0.0014864859849999998,131.8041995652322,0.0
celA,0.0069946457247747,0.0028127988249999998,-198.92414565960868,0.0
coiA,0.0035352140422108,0.000734324578,-279.7435413361795,0.0
SPD_1417,0.0,8.0779022e-05,63.58182614429436,0.0
def,2.649489179605336e-05,5.3690600000000006e-06,-456.8932413588378,0.0
SPD_0759,0.0001379168616483634,6.1567092e-05,-26.361765031443795,1.1039785612813648e-116
rimM,0.0037547869737877,0.003417442281,-16.585330737214832,9.369773328909162e-55
cbiO1,0.0021929302565135,0.002102980591,-5.664141323338568,1.9313816513753674e-08
codY,0.0021691035792788,0.001861045373,-21.34238224040922,1.4490285887703892e-83
hup,0.0046025983875832,1.0262409e-05,-3989.811722738025,0.0
gatC,0.0,0.000187776735,110.89606651100537,0.0
gatB,3.329978482527925e-06,0.001903884243,99.61215785095207,0.0
efp,0.0016750315008751,0.002869085143,72.41796694142415,0.0
nusB,0.0007993820364766387,0.00015710846,-269.1221651522216,0.0
acpS,0.00045453453357932025,0.000323633881,-45.80103167965557,1.1557020524332873e-247
dapB,0.002018933285547,0.000832156911,-100.6781535455684,0.0
ddlA,0.0029272870488565,0.002250816877,-47.732576840271136,5.713248799675429e-260
lepB,0.00010578714856690666,0.00015435564000000003,11.933310254273067,8.770439920098766e-31
tuf,0.0057418180428596,0.008004039304999998,69.46759446741908,0.0
pgk,0.0089318273923884,0.002743859086,-380.1319946729755,0.0
mtlA,0.0008315309085539012,0.0011250615039999998,43.99717366400933,5.287882323437726e-236
mtlD,0.0003896221751960133,0.000474331591,26.64973908293654,1.2415669756451031e-118
SPD_1536,0.00014281395175871342,0.000366481974,57.63543839829233,5.9634e-320
mvk,0.0,0.000118607049,36.62404707119741,7.12029624670917e-187
ftsA,0.0025767494387507,0.005682671905,102.29290567913199,0.0
divIVA,0.0006507709486323201,0.002925981317,145.50902572070916,0.0
recU,0.0007530014833352621,0.0006078161669999999,-23.881951450495347,4.388622339777283e-100
lmb,0.000196097106717038,0.000337198198,29.375942291510086,3.1837973244619046e-137
psaB,2.027580982821824e-05,0.00026165140499999996,110.92097115786349,0.0
ligA,0.0011967106723821,0.00039643230799999996,-126.0639414979395,0.0
amiF,0.0081085986725479,0.001351608986,-630.924346790419,0.0
amiD,0.0014162864019432,0.001324597921,-8.60749260314418,2.8658039909166736e-17
SPD_0335,0.00010398340299272336,4.5322608e-05,-35.782454510445866,3.8024802107695166e-181
clpX,0.0020150035370321,0.0017720941020000001,-11.384457845977996,2.551545411315923e-28
murA-1,0.00168479235953,0.001431734863,-10.451956153283597,2.4490197678198174e-24
murB,0.0089413907285843,0.002704186183,-538.3133589663398,0.0
SPD_0505,0.00031541580537648093,7.1509181e-05,-265.79790151326796,0.0
alr,0.0043860008734956,0.001999160461,-185.09342332672404,0.0
murC,0.003734523155793,0.003356961849,-22.65019464562905,5.348904603430941e-92
SPD_0952,0.001534963112202,0.0031899354109999997,118.18754929148672,0.0
ezrA,0.0027197138681274,0.002614032798,-7.079026117705905,2.7324261521162787e-12
murF,0.0015289558939997,0.00252412461,75.6891372693808,0.0
murD,0.0029705851958781,0.003820071678,40.75084284671498,1.2266631292109717e-214
pbpX,0.0024409578005165,0.004389402554,165.54839958283623,0.0
mraY,0.0042878131165721,0.004126257275999999,-13.212775327441689,7.502478439202648e-37
mraW,0.0095125032610975,0.000796958089,-1346.0220825658812,0.0
SPD_1143,0.0,1.2421447e-05,39.75760411828432,5.188579602555039e-208
ffh,0.0021934360091885,0.0018931818609999999,-19.889838088767984,2.0138623533208243e-74
SPD_1850,0.0014174367743178,0.0026030681370000004,57.296351783776586,5.515037e-318
gpmA,0.0042923908315914,0.001844523754,-197.08361485712166,0.0
